sent_compound,x,y
0,-14916.96385,6714670.813348568
0,-14916.94115,6714670.814637569
0,-14916.96905,6714670.840248568
0,-14916.91581,6714670.834097568
0.3612,-14916.91481,6714670.834958568
0.8932,-14916.95158,6714670.812758569
0,-14916.95387,6714670.806551568
0.9152,-14916.95147,6714670.811476569
0.9476,-14916.95117,6714670.809386568
0.9627,-14916.9533,6714670.808752568
0.9571,-14916.95409,6714670.809386568
0.9659,-14916.95432,6714670.809520569
0,-14916.88305,6714670.822806569
0.9788,-14916.9547,6714670.810154568
0.9273,-14916.95479,6714670.810341569
0.967,-14916.95371,6714670.8091865685
0.9733,-14916.95458,6714670.810001568
0,-14916.93404,6714670.811695568
0,-14916.9501,6714670.807589568
0,-14916.95244,6714670.812878569
0,-14916.94065,6714670.826111568
0,-14916.94293,6714670.809445568
0.4404,-14916.95744,6714670.840350568
0,-14916.91794,6714670.8304395685
0,-14916.95131,6714670.815135568
0,-14916.94645,6714670.820636569
0,-14916.96494,6714670.843242568
0,-14916.94989,6714670.815131568
0,-14916.97589,6714670.798534568
0.9855,-14917.01659,6714670.815092568
0,-14916.94691,6714670.821117569
0.7655,-14916.97438,6714670.798617569
0.2453,-14916.97404,6714670.797995568
0,-14916.95514,6714670.838973569
0,-14916.93923,6714670.807923568
0,-14916.94595,6714670.812120568
0,-14916.89304,6714670.811370568
0,-14916.94075,6714670.826067569
0.5106,-14917.03029,6714670.805120569
0.5574,-14916.88675,6714670.803310568
0,-14916.95831,6714670.840508568
0,-14917.01655,6714670.814674568
0,-14916.9501,6714670.817761568
0,-14916.95343,6714670.813231569
0,-14916.87107,6714670.807356568
0,-14916.87114,6714670.807398568
0,-14916.87155,6714670.807737568
0,-14916.87139,6714670.807706568
0,-14916.95005,6714670.812059568
0,-14916.94718,6714670.813450568
0,-14916.87093,6714670.807364568
0,-14916.87132,6714670.8078425685
0,-14916.90271,6714670.818434568
0,-14916.87151,6714670.807662568
0,-14916.87138,6714670.807675568
0,-14916.87129,6714670.807731569
0,-14916.87131,6714670.807853568
0,-14916.87103,6714670.807225568
0,-14916.87104,6714670.807170568
0,-14916.87106,6714670.807353568
0,-14916.87107,6714670.807337568
0,-14916.8714,6714670.807670568
0,-14916.96999,6714670.822564568
0,-14916.8711,6714670.807170568
0,-14917.01618,6714670.814375568
0,-14916.8948,6714670.811933569
0,-14916.95386,6714670.813659568
0,-14916.88932,6714670.818223569
0,-14916.8881,6714670.818257568
0,-14916.9674,6714670.818031568
0,-14916.9274,6714670.828000569
0,-14917.01608,6714670.814000568
0,-14917.01609,6714670.814000568
0,-14916.97012,6714670.822870568
0,-14916.89121,6714670.815138568
0,-14916.94329,6714670.812438568
-0.5719,-14916.89362,6714670.811002568
0,-14916.94851,6714670.811942568
0.6124,-14916.94057,6714670.8073505685
0,-14916.95651,6714670.840417569
0.3612,-14916.89579,6714670.812151568
0,-14916.90111,6714670.799103568
