sent_compound,x,y
0.8475,-14916.90018,6714670.822249868
0.9592,-14916.95705,6714670.825127969
0.8968,-14916.98488,6714670.816373369
0.9459,-14916.99156,6714670.7946222685
0.9931,-14916.95763,6714670.812347868
0.9041,-14916.93832,6714670.818624969
0.9871,-14916.8704,6714670.802347468
0.9292,-14916.92776,6714670.810748968
0.5767,-14916.90844,6714670.869834868
0.8607,-14916.93658,6714670.817922869
0.9682,-14916.87317,6714670.793594669
0.7819,-14916.93661,6714670.817796769
0.3818,-14916.93589,6714670.8182826685
0.8882,-14916.92497,6714670.8238689685
0.9712,-14916.98601,6714670.828305368
0.8658,-14916.96401,6714670.822586068
0.9963,-14916.98797,6714670.794711769
0.7845,-14916.93738,6714670.816887668
0.802,-14916.93823,6714670.836029368
0.765,-14916.91805,6714670.7937467685
0.4576,-14916.98586,6714670.796028968
0,-14916.94484,6714670.813078268
-0.9559,-14916.97227,6714670.786002568
0.6808,-14916.9217,6714670.7960715685
0,-14916.90869,6714670.817534569
0.9797,-14916.93716,6714670.807171568
0.8896,-14916.96052,6714670.871557068
0.7216,-14916.99064,6714670.795017769
0.9852,-14916.93609,6714670.802009068
0.8122,-14916.93711,6714670.817891069
0.8765,-14916.98422,6714670.795212668
-0.128,-14916.99711,6714670.836801068
0.8686,-14916.93673,6714670.816937168
0.6588,-14917.01109,6714670.7980144685
0.8258,-14916.93913,6714670.817280768
0.8578,-14916.9216,6714670.796208268
-0.6124,-14916.99089,6714670.7943710685
0.9013,-14916.98946,6714670.796477469
0.8066,-14916.98621,6714670.796762568
0.4201,-14916.92548,6714670.813957568
0.9903,-14916.93667,6714670.818799868
0.908,-14916.93718,6714670.816959868
0.8115,-14916.98415,6714670.795012368
0,-14916.8656,6714670.784972068
0.9716,-14916.88772,6714670.807374968
0,-14916.93772,6714670.817677569
0.659,-14916.94003,6714670.819251669
0.5994,-14916.93315,6714670.832870068
0.9732,-14916.93765,6714670.817459868
0.25,-14916.92249,6714670.793985568
-0.1779,-14916.93753,6714670.817271768
