owner,total_photos,city_photos,city_ratio,day_span,classification
41835202@N05,2,2,1.0,0,TOURIST
41894148532@N01,3,3,1.0,0,TOURIST
42539973@N00,55,55,1.0,1807,RESIDENT
42567269@N08,3,3,1.0,693,RESIDENT
42575154@N00,3,3,1.0,0,TOURIST
43499552@N03,1,1,1.0,0,TOURIST
43556229@N07,1,1,1.0,0,TOURIST
44079668@N07,62,62,1.0,2534,RESIDENT
44227527@N06,6,6,1.0,315,RESIDENT
44234646@N02,2,2,1.0,0,TOURIST
44795158@N06,2,2,1.0,0,TOURIST
45358973@N04,2,2,1.0,0,TOURIST
45676495@N05,18,18,1.0,0,TOURIST
45898619@N08,86,86,1.0,481,RESIDENT
45994234@N03,5,5,1.0,1212,RESIDENT
46447162@N00,47,47,1.0,719,RESIDENT
47061356@N02,2,2,1.0,0,TOURIST
47121377@N00,3,3,1.0,714,RESIDENT
47332234@N07,1,1,1.0,0,TOURIST
48139632@N00,6,6,1.0,230,RESIDENT
48424969@N08,1,1,1.0,0,TOURIST
48542598@N07,7,7,1.0,0,TOURIST
48731569@N00,3,3,1.0,157,RESIDENT
48873022@N00,1,1,1.0,0,TOURIST
49169223@N00,7,7,1.0,0,TOURIST
49431171@N00,2,2,1.0,0,TOURIST
51035749109@N01,2,2,1.0,0,TOURIST
51101129@N08,2,2,1.0,0,TOURIST
51689289@N07,18,18,1.0,136,RESIDENT
51949913@N00,2,2,1.0,0,TOURIST
52559257@N02,8,8,1.0,0,TOURIST
52749298@N00,4,4,1.0,0,TOURIST
53152602@N00,8,8,1.0,0,TOURIST
53822808@N02,9,9,1.0,301,RESIDENT
54021454@N05,2,2,1.0,184,RESIDENT
54218923@N00,8,8,1.0,0,TOURIST
54448170@N05,4,4,1.0,0,TOURIST
54515311@N00,2,2,1.0,0,TOURIST
54881499@N07,2,2,1.0,0,TOURIST
55140868@N08,2,2,1.0,0,TOURIST
55497864@N00,2,2,1.0,0,TOURIST
55578087@N08,71,71,1.0,1140,RESIDENT
55935853@N00,1,1,1.0,0,TOURIST
56116019@N00,3,3,1.0,0,TOURIST
56221229@N03,2,2,1.0,0,TOURIST
56762970@N03,2,2,1.0,4753,RESIDENT
57440551@N03,2,2,1.0,0,TOURIST
57899800@N00,3,3,1.0,0,TOURIST
58414938@N00,1,1,1.0,0,TOURIST
58471716@N08,5,5,1.0,696,RESIDENT
58826214@N00,11,11,1.0,2448,RESIDENT
59275783@N04,9,9,1.0,518,RESIDENT
59367287@N07,2,2,1.0,0,TOURIST
59466642@N06,1,1,1.0,0,TOURIST
59715799@N07,6,6,1.0,0,TOURIST
59918083@N03,1,1,1.0,0,TOURIST
60030427@N07,7,7,1.0,1,TOURIST
60486956@N00,5,5,1.0,910,RESIDENT
60502775@N07,1,1,1.0,0,TOURIST
60663450@N02,7,7,1.0,0,TOURIST
60755888@N07,3,3,1.0,2,TOURIST
61324168@N02,17,17,1.0,0,TOURIST
61579728@N05,38,38,1.0,1449,RESIDENT
61617475@N02,4,4,1.0,3917,RESIDENT
62586117@N05,5,5,1.0,0,TOURIST
62973218@N02,16,16,1.0,735,RESIDENT
64453831@N08,2,2,1.0,132,RESIDENT
64474387@N06,2,2,1.0,0,TOURIST
64639998@N00,2,2,1.0,0,TOURIST
65252415@N03,11,11,1.0,593,RESIDENT
65258641@N00,5,5,1.0,0,TOURIST
65737797@N00,8,8,1.0,1095,RESIDENT
66139643@N00,4,4,1.0,141,RESIDENT
66929259@N00,1,1,1.0,0,TOURIST
67132034@N03,2,2,1.0,0,TOURIST
67172517@N06,2,2,1.0,0,TOURIST
67207645@N08,4,4,1.0,643,RESIDENT
67394469@N06,1,1,1.0,0,TOURIST
68686051@N00,397,397,1.0,7071,RESIDENT
68894626@N00,8,8,1.0,0,TOURIST
69008291@N02,3,3,1.0,41,TOURIST
69194163@N08,6,6,1.0,362,RESIDENT
69233611@N05,38,38,1.0,61,TOURIST
69754957@N00,2,2,1.0,0,TOURIST
70323761@N00,31,31,1.0,2,TOURIST
71393709@N06,3,3,1.0,1299,RESIDENT
71625918@N00,2,2,1.0,0,TOURIST
7272097@N08,3,3,1.0,0,TOURIST
73068437@N00,2,2,1.0,0,TOURIST
73088501@N07,5,5,1.0,231,RESIDENT
73422480@N00,6,6,1.0,549,RESIDENT
7359973@N08,1,1,1.0,0,TOURIST
74080603@N07,7,7,1.0,251,RESIDENT
74313678@N00,26,26,1.0,3762,RESIDENT
7455207@N05,1,1,1.0,0,TOURIST
74891768@N00,38,38,1.0,3743,RESIDENT
74925381@N03,7,7,1.0,848,RESIDENT
75062596@N00,3,3,1.0,0,TOURIST
75166411@N00,1,1,1.0,0,TOURIST
75377955@N02,2,2,1.0,0,TOURIST
75514026@N03,47,47,1.0,436,RESIDENT
75668053@N00,1,1,1.0,0,TOURIST
75999404@N06,51,51,1.0,13,TOURIST
7648502@N02,3,3,1.0,0,TOURIST
77004873@N03,7,7,1.0,0,TOURIST
77072953@N04,1,1,1.0,0,TOURIST
77576656@N08,2,2,1.0,0,TOURIST
77746297@N02,1,1,1.0,0,TOURIST
7820665@N03,1,1,1.0,0,TOURIST
78364563@N00,3,3,1.0,31,TOURIST
78375102@N06,3,3,1.0,3,TOURIST
78462059@N00,19,19,1.0,0,TOURIST
78772251@N07,1,1,1.0,0,TOURIST
7945858@N08,6,6,1.0,0,TOURIST
79478905@N04,10,10,1.0,600,RESIDENT
79761301@N00,3,3,1.0,0,TOURIST
79986881@N00,41,41,1.0,1314,RESIDENT
81065266@N00,143,143,1.0,2692,RESIDENT
8123907@N06,86,86,1.0,735,RESIDENT
8222860@N03,6,6,1.0,0,TOURIST
82567656@N06,2,2,1.0,0,TOURIST
82651989@N00,2,2,1.0,0,TOURIST
8274215@N04,31,31,1.0,348,RESIDENT
83167832@N00,1,1,1.0,0,TOURIST
83227046@N07,3,3,1.0,0,TOURIST
83398740@N00,1,1,1.0,0,TOURIST
8348059@N02,2,2,1.0,0,TOURIST
8360124@N06,2,2,1.0,33,TOURIST
83736792@N00,1,1,1.0,0,TOURIST
84292292@N00,1,1,1.0,0,TOURIST
86182676@N00,5,5,1.0,4481,RESIDENT
86712386@N05,2,2,1.0,204,RESIDENT
8719755@N06,1,1,1.0,0,TOURIST
87677821@N00,2,2,1.0,0,TOURIST
88078350@N06,4,4,1.0,2467,RESIDENT
88329242@N00,2,2,1.0,0,TOURIST
8857720@N08,8,8,1.0,1087,RESIDENT
88851387@N07,2,2,1.0,0,TOURIST
89029424@N00,2,2,1.0,0,TOURIST
89165847@N00,5,5,1.0,1,TOURIST
8975511@N07,5,5,1.0,35,TOURIST
89841580@N04,5,5,1.0,0,TOURIST
90134546@N00,1,1,1.0,0,TOURIST
90341512@N00,56,56,1.0,2421,RESIDENT
91351004@N00,1,1,1.0,0,TOURIST
91451979@N00,1,1,1.0,0,TOURIST
91994044@N00,11,11,1.0,0,TOURIST
9258223@N05,5,5,1.0,4504,RESIDENT
9302732@N08,3,3,1.0,250,RESIDENT
94104270@N00,2,2,1.0,0,TOURIST
95351092@N00,19,19,1.0,1714,RESIDENT
95492523@N00,2,2,1.0,0,TOURIST
95665996@N03,2,2,1.0,0,TOURIST
96037254@N00,5,5,1.0,0,TOURIST
9619972@N08,6,6,1.0,2004,RESIDENT
96419267@N00,1,1,1.0,0,TOURIST
96449403@N00,1,1,1.0,0,TOURIST
96654411@N02,4,4,1.0,49,TOURIST
96671573@N04,2,2,1.0,0,TOURIST
9742570@N03,2,2,1.0,0,TOURIST
97640056@N02,1,1,1.0,0,TOURIST
97867688@N00,3,3,1.0,0,TOURIST
9815422@N06,5,5,1.0,9678,RESIDENT
98587546@N00,1,1,1.0,0,TOURIST
98737109@N08,1,1,1.0,0,TOURIST
9921093@N08,5,5,1.0,1409,RESIDENT
99211818@N00,1,1,1.0,0,TOURIST
