NUMPOINTS,X,Y
2947,-16156.85177,7229417.359262569
1278,-16103.74177,7229843.189262568
2602,-15932.93177,7229267.859262568
404,-16610.87177,7229790.799262568
11749,-16175.83177,7229969.609262568
434,-16756.59177,7229852.729262568
131,-16756.80177,7229852.669262568
456,-15728.37177,7229990.979262568
436,-15719.35177,7229990.039262569
2590,-16212.10177,7229619.439262568
712,-15720.75177,7229795.669262568
3621,-16169.40177,7229934.499262569
217,-17013.11177,7229831.859262568
1506,-16102.99177,7229734.559262568
1963,-15626.30177,7229796.659262569
426,-16266.28177,7229755.679262568
588,-16128.20177,7229703.739262569
422,-15529.53177,7229993.559262568
195,-16170.04177,7229876.239262569
5068,-16236.88177,7229749.649262568
26,-15591.81177,7229766.519262568
65,-16748.92177,7229636.039262569
666,-15712.88177,7229514.899262568
661,-16759.20177,7229839.909262569
2865,-15935.26177,7229983.989262569
3658,-16376.70177,7229453.959262568
272,-16505.21177,7229730.049262568
908,-16695.86177,7230072.639262568
143,-16126.38177,7229705.479262568
528,-15709.99177,7230156.369262569
5073,-16340.52177,7230010.509262568
6996,-16342.77177,7230009.779262569
2025,-16364.23177,7230035.209262568
124,-17131.99177,7229714.019262568
493,-16285.38177,7229753.369262569
1376,-17009.89177,7229300.479262568
616,-15533.87177,7229986.599262568
2638,-16712.28177,7229805.469262568
780,-16500.81177,7229593.639262568
600,-16089.92177,7229816.209262568
1261,-16300.50177,7229740.309262568
81,-16322.56177,7229777.909262569
680,-15674.80177,7229612.889262568
711,-16213.92177,7230111.929262568
776,-15975.85177,7230182.979262568
280,-16056.42177,7229622.109262568
380,-15497.66177,7229861.809262568
289,-16119.95177,7229502.569262568
1420,-16271.21177,7229744.019262568
803,-15458.74177,7229630.379262568
404,-15932.18177,7229574.219262568
361,-17025.56177,7229790.139262568
273,-17017.30177,7229794.609262568
3086,-16675.48177,7229552.239262569
1728,-15899.26177,7229946.909262569
2717,-16899.60177,7229620.839262568
549,-15878.54177,7229874.469262568
295,-16220.68177,7229709.629262568
3019,-16130.13177,7229746.719262568
185,-15656.54177,7229823.539262569
5455,-15788.09177,7229755.969262568
430,-15642.62177,7229830.799262568
1098,-16136.83177,7229831.469262568
7861,-16151.80177,7229774.759262568
619,-15742.52177,7229875.149262568
406,-15742.31177,7229880.619262569
2660,-15721.92177,7229792.299262568
